economy,time,EF.EFM.OVRL.XD,EF.EFM.RANK.XD
AFG,YR1996,0.064491,106.0
AFG,YR2000,0.232,86.0
AFG,YR2004,0.19361,90.0
AFG,YR2008,0.20758,91.0
AFG,YR2012,0.077571,106.0
AGO,YR1996,0.0,147.0
AGO,YR2000,0.0,146.0
AGO,YR2004,0.0,147.0
AGO,YR2008,0.0,148.0
AGO,YR2012,0.0,147.5
ALB,YR1996,0.44012,68.0
ALB,YR2000,0.54939,63.0
ALB,YR2004,0.49457,66.0
ALB,YR2008,0.86836,55.0
ALB,YR2012,0.42853,71.0
AND,YR1996,0.6561,55.0
AND,YR2000,0.85494,52.0
AND,YR2004,0.72832,59.0
AND,YR2008,0.75068,59.0
AND,YR2012,0.61898,63.0
ARE,YR1996,0.12949,88.0
ARE,YR2000,0.29689,79.0
ARE,YR2004,0.48235,67.0
ARE,YR2008,0.45388,73.0
ARE,YR2012,0.14041,97.0
ARG,YR1996,0.80379,47.0
ARG,YR2000,0.90567,49.0
ARG,YR2004,0.84766,54.0
ARG,YR2008,0.79967,58.0
ARG,YR2012,0.65138,61.0
ARM,YR1996,0.54333,58.0
ARM,YR2000,0.61208,60.0
ARM,YR2004,0.37568,75.0
ARM,YR2008,0.50917,71.0
ARM,YR2012,0.42947,70.0
AUS,YR1996,1.1428,39.0
AUS,YR2000,1.1822,43.0
AUS,YR2004,0.84245,55.0
AUS,YR2008,0.59169,67.0
AUS,YR2012,0.37233,73.0
AUT,YR1996,3.9823,11.0
AUT,YR2000,3.593,13.0
AUT,YR2004,3.5376,13.0
AUT,YR2008,3.5055,13.0
AUT,YR2012,3.406,11.0
AZE,YR1996,0.40006,71.0
AZE,YR2000,0.13855,102.0
AZE,YR2004,0.083592,112.0
AZE,YR2008,0.015344,131.0
AZE,YR2012,0.0091757,129.0
BDI,YR1996,0.0069306,130.0
BDI,YR2000,0.0058257,135.0
BDI,YR2004,0.014626,131.0
BDI,YR2008,0.062204,113.0
BDI,YR2012,0.043586,117.0
BEL,YR1996,5.1049,8.0
BEL,YR2000,4.491,8.0
BEL,YR2004,4.4551,8.0
BEL,YR2008,4.1646,7.0
BEL,YR2012,4.2326,7.0
BEN,YR1996,0.027581,123.0
BEN,YR2000,0.076409,115.0
BEN,YR2004,0.038206,123.0
BEN,YR2008,0.044247,118.0
BEN,YR2012,0.04522,116.0
BFA,YR1996,0.047047,110.0
BFA,YR2000,0.31814,78.0
BFA,YR2004,0.13148,101.0
BFA,YR2008,0.038957,122.0
BFA,YR2012,0.022899,123.0
BGD,YR1996,0.12899,89.0
BGD,YR2000,0.24871,84.0
BGD,YR2004,0.28575,84.0
BGD,YR2008,0.20928,90.0
BGD,YR2012,0.34158,79.0
BGR,YR1996,1.5251,30.0
BGR,YR2000,1.5079,32.0
BGR,YR2004,1.5515,30.0
BGR,YR2008,1.5418,33.0
BGR,YR2012,1.8274,26.0
BHR,YR1996,0.087234,103.0
BHR,YR2000,0.16121,97.0
BHR,YR2004,0.17026,93.0
BHR,YR2008,0.24566,87.0
BHR,YR2012,0.22725,87.0
BIH,YR1996,0.66933,54.0
BIH,YR2000,0.54402,65.0
BIH,YR2004,0.81206,56.0
BIH,YR2008,0.81564,56.0
BIH,YR2012,0.84061,52.0
BLR,YR1996,0.89852,45.0
BLR,YR2000,1.226,42.0
BLR,YR2004,1.1,41.0
BLR,YR2008,0.93876,53.0
BLR,YR2012,0.94779,49.0
BLZ,YR1996,0.040113,112.0
BLZ,YR2000,0.090497,114.0
BLZ,YR2004,0.15549,95.0
BLZ,YR2008,1.0954,46.0
BLZ,YR2012,0.078263,105.0
BOL,YR1996,0.114,94.0
BOL,YR2000,0.15955,98.0
BOL,YR2004,0.13588,100.0
BOL,YR2008,0.099626,105.0
BOL,YR2012,0.10547,100.0
BRA,YR1996,1.7423,25.0
BRA,YR2000,1.5995,28.0
BRA,YR2004,1.5297,31.0
BRA,YR2008,1.2288,41.0
BRA,YR2012,1.0623,44.0
BRN,YR1996,1.56e-06,140.0
BRN,YR2000,0.0078954,133.0
BRN,YR2004,0.056677,116.0
BRN,YR2008,3.97e-17,146.0
BRN,YR2012,0.0,142.0
BTN,YR1996,0.013548,125.0
BTN,YR2000,0.058558,119.0
BTN,YR2004,0.043332,119.0
BTN,YR2008,0.020006,130.0
BTN,YR2012,0.099184,101.0
CAF,YR1996,0.039857,113.0
CAF,YR2000,0.098779,111.0
CAF,YR2004,0.027396,125.0
CAF,YR2008,0.031713,126.0
CAF,YR2012,0.045987,115.0
CAN,YR1996,2.1766,20.0
CAN,YR2000,1.9088,22.0
CAN,YR2004,1.8057,25.0
CAN,YR2008,1.2924,38.0
CAN,YR2012,1.424,37.0
CHE,YR1996,5.3914,7.0
CHE,YR2000,4.5034,7.0
CHE,YR2004,4.0237,9.0
CHE,YR2008,3.7535,11.0
CHE,YR2012,2.9278,15.0
CHL,YR1996,0.46454,64.0
CHL,YR2000,0.5699,61.0
CHL,YR2004,0.47508,70.0
CHL,YR2008,0.44801,74.0
CHL,YR2012,0.38865,72.0
CHN,YR1996,3.5214,13.0
CHN,YR2000,4.4365,9.0
CHN,YR2004,5.5162,4.0
CHN,YR2008,6.7478,2.0
CHN,YR2012,8.3551,1.0
CIV,YR1996,0.12172,92.0
CIV,YR2000,0.14061,101.0
CIV,YR2004,0.087509,110.0
CIV,YR2008,0.077041,112.0
CIV,YR2012,0.056309,111.0
CMR,YR1996,0.013859,124.0
CMR,YR2000,0.028508,125.0
CMR,YR2004,0.017857,129.0
CMR,YR2008,0.035961,124.0
CMR,YR2012,0.049654,112.0
COD,YR1996,0.0078537,129.0
COD,YR2000,0.0063601,134.0
COD,YR2004,0.0094217,135.0
COD,YR2008,0.0078621,134.0
COD,YR2012,0.0016029,135.0
COG,YR1996,7.4e-12,144.0
COG,YR2000,0.00022748,144.0
COG,YR2004,0.00040396,143.0
COG,YR2008,0.0041851,138.0
COG,YR2012,0.0016229,134.0
COL,YR1996,0.45681,65.0
COL,YR2000,0.53639,66.0
COL,YR2004,0.56208,65.0
COL,YR2008,0.6686,63.0
COL,YR2012,0.35756,75.0
CRI,YR1996,0.30802,74.0
CRI,YR2000,0.35257,75.0
CRI,YR2004,0.34873,80.0
CRI,YR2008,0.42915,75.0
CRI,YR2012,0.28659,82.0
CYP,YR1996,0.76057,48.0
CYP,YR2000,0.85635,51.0
CYP,YR2004,1.0059,46.0
CYP,YR2008,1.1588,45.0
CYP,YR2012,0.83395,53.0
CZE,YR1996,4.024,10.0
CZE,YR2000,3.7031,12.0
CZE,YR2004,3.3284,14.0
CZE,YR2008,3.116,14.0
CZE,YR2012,3.2392,13.0
DEU,YR1996,9.1431,1.0
DEU,YR2000,7.334,1.0
DEU,YR2004,6.8969,1.0
DEU,YR2008,6.8499,1.0
DEU,YR2012,6.5548,2.0
DNK,YR1996,2.8523,15.0
DNK,YR2000,2.6122,16.0
DNK,YR2004,2.61,17.0
DNK,YR2008,2.3988,19.0
DNK,YR2012,2.382,21.0
DZA,YR1996,0.034917,115.0
DZA,YR2000,0.010191,130.0
DZA,YR2004,0.0050487,137.0
DZA,YR2008,0.0013195,144.0
DZA,YR2012,0.0,138.0
ECU,YR1996,0.1071,97.0
ECU,YR2000,0.17789,95.0
ECU,YR2004,0.12237,103.0
ECU,YR2008,0.11831,102.0
ECU,YR2012,0.18104,92.0
EGY,YR1996,0.4821,63.0
EGY,YR2000,0.62307,59.0
EGY,YR2004,0.68654,60.0
EGY,YR2008,0.8061,57.0
EGY,YR2012,0.90315,51.0
ERI,YR1996,0.00037985,136.0
ERI,YR2000,0.060721,118.0
ERI,YR2004,0.18764,92.0
ERI,YR2008,0.11275,103.0
ERI,YR2012,0.0063311,131.0
ESP,YR1996,3.791,12.0
ESP,YR2000,3.8666,11.0
ESP,YR2004,3.8884,12.0
ESP,YR2008,3.8409,9.0
ESP,YR2012,3.8759,9.0
EST,YR1996,1.1198,40.0
EST,YR2000,0.96635,47.0
EST,YR2004,1.2548,37.0
EST,YR2008,1.7117,27.0
EST,YR2012,1.7593,29.0
ETH,YR1996,0.0067597,131.0
ETH,YR2000,0.036242,122.0
ETH,YR2004,0.10032,108.0
ETH,YR2008,0.13917,98.0
ETH,YR2012,0.13349,98.0
FIN,YR1996,1.8897,22.0
FIN,YR2000,1.5925,29.0
FIN,YR2004,1.6427,28.0
FIN,YR2008,1.5292,34.0
FIN,YR2012,1.7699,28.0
FRA,YR1996,6.1954,5.0
FRA,YR2000,5.3649,5.0
FRA,YR2004,5.3549,6.0
FRA,YR2008,4.9935,6.0
FRA,YR2012,4.8431,6.0
GAB,YR1996,1.07e-11,143.0
GAB,YR2000,0.0011003,140.0
GAB,YR2004,0.0007536,140.0
GAB,YR2008,0.0022221,140.0
GAB,YR2012,0.0,144.0
GBR,YR1996,6.3503,4.0
GBR,YR2000,4.8404,6.0
GBR,YR2004,4.5976,7.0
GBR,YR2008,4.0409,8.0
GBR,YR2012,3.7702,10.0
GEO,YR1996,0.66938,53.0
GEO,YR2000,0.6959,57.0
GEO,YR2004,0.34121,81.0
GEO,YR2008,0.29796,81.0
GEO,YR2012,0.26283,84.0
GHA,YR1996,0.037726,114.0
GHA,YR2000,0.071844,116.0
GHA,YR2004,0.07372,114.0
GHA,YR2008,0.098956,106.0
GHA,YR2012,0.059696,110.0
GIN,YR1996,0.012665,126.0
GIN,YR2000,0.0057415,136.0
GIN,YR2004,0.014293,132.0
GIN,YR2008,0.010515,132.0
GIN,YR2012,0.003774,132.0
GMB,YR1996,0.10831,96.0
GMB,YR2000,0.20126,89.0
GMB,YR2004,0.16614,94.0
GMB,YR2008,0.17524,93.0
GMB,YR2012,0.07883,104.0
GNB,YR1996,2.01e-09,142.0
GNB,YR2000,1.07e-15,145.0
GNB,YR2004,0.0046304,138.0
GNB,YR2008,0.0016194,143.0
GNB,YR2012,0.0,143.0
GRC,YR1996,0.96358,43.0
GRC,YR2000,1.2401,40.0
GRC,YR2004,1.3371,36.0
GRC,YR2008,1.3135,36.0
GRC,YR2012,0.9253,50.0
GRL,YR1996,0.0036227,133.0
GRL,YR2000,0.0095867,131.0
GRL,YR2004,0.014129,133.0
GRL,YR2008,0.024436,128.0
GRL,YR2012,0.0064229,130.0
GTM,YR1996,0.44384,66.0
GTM,YR2000,0.52948,67.0
GTM,YR2004,0.60036,62.0
GTM,YR2008,0.63297,64.0
GTM,YR2012,0.56393,64.0
GUY,YR1996,0.004672,132.0
