economy,time,SP.POP.TOTL,SP.RUR.TOTL,SP.URB.TOTL
ABW,YR1992,68235.0,34119.0,34116.0
ABW,YR1996,83200.0,42968.0,40232.0
ABW,YR2000,90853.0,48409.0,42444.0
ABW,YR2004,98737.0,54068.0,44669.0
ABW,YR2008,101353.0,56978.0,44375.0
ABW,YR2012,102577.0,58513.0,44064.0
ABW,YR2016,104822.0,59547.0,45275.0
AFG,YR1992,13981231.0,10995539.0,2985692.0
AFG,YR1996,17822884.0,13952823.0,3870061.0
AFG,YR2000,20093756.0,15657457.0,4436299.0
AFG,YR2004,24118979.0,18692209.0,5426770.0
AFG,YR2008,27294031.0,20929063.0,6364968.0
AFG,YR2012,30696958.0,23280573.0,7416385.0
AFG,YR2016,34656032.0,25985093.0,8670939.0
AGO,YR1992,12968345.0,7775949.0,5192396.0
AGO,YR1996,14682284.0,8024455.0,6657829.0
AGO,YR2000,16440924.0,8206158.0,8234766.0
AGO,YR2004,18865716.0,8522210.0,10343506.0
AGO,YR2008,21759420.0,9077595.0,12681825.0
AGO,YR2012,25096150.0,9720241.0,15375909.0
AGO,YR2016,28813463.0,10329915.0,18483548.0
ALB,YR1992,3247039.0,2037549.0,1209490.0
ALB,YR1996,3168033.0,1917515.0,1250518.0
ALB,YR2000,3089027.0,1799636.0,1289391.0
ALB,YR2004,3026939.0,1645111.0,1381828.0
ALB,YR2008,2947314.0,1473922.0,1473392.0
ALB,YR2012,2900401.0,1324613.0,1575788.0
ALB,YR2016,2876101.0,1195854.0,1680247.0
AND,YR1992,58888.0,3342.0,55546.0
AND,YR1996,64360.0,4232.0,60128.0
AND,YR2000,65390.0,4973.0,60417.0
AND,YR2004,76244.0,7052.0,69192.0
AND,YR2008,83861.0,9221.0,74640.0
AND,YR2012,82431.0,9372.0,73059.0
AND,YR2016,77281.0,9082.0,68199.0
ARB,YR1992,235037179.0,115976698.0,119060481.0
ARB,YR1996,260843462.0,125460027.0,135383435.0
ARB,YR2000,283832016.0,133850793.0,149981223.0
ARB,YR2004,309162029.0,142341570.0,166820459.0
ARB,YR2008,339825483.0,151388577.0,188436906.0
ARB,YR2012,373306993.0,160620699.0,212686294.0
ARB,YR2016,406452690.0,169845860.0,236606830.0
ARE,YR1992,2086639.0,443202.0,1643437.0
ARE,YR1996,2571020.0,552949.0,2018071.0
ARE,YR2000,3154925.0,623539.0,2531386.0
ARE,YR2004,4087931.0,741101.0,3346830.0
ARE,YR2008,6894278.0,1145346.0,5748932.0
ARE,YR2012,8900453.0,1357408.0,7543045.0
ARE,YR2016,9269612.0,1300990.0,7968622.0
ARG,YR1992,33655151.0,4192759.0,29462392.0
ARG,YR1996,35419682.0,4120726.0,31298956.0
ARG,YR2000,37057452.0,4023698.0,33033754.0
ARG,YR2004,38728696.0,3927090.0,34801606.0
ARG,YR2008,40382389.0,3824212.0,36558177.0
ARG,YR2012,42096739.0,3737769.0,38358970.0
ARG,YR2016,43847430.0,3671345.0,40176085.0
ARM,YR1992,3442810.0,1140328.0,2302482.0
ARM,YR1996,3168215.0,1084131.0,2084084.0
