economy,time,1.1_ACCESS.ELECTRICITY.TOT,1.2_ACCESS.ELECTRICITY.RURAL
ABW,YR1992,89.1158294677734,78.2344621051053
ABW,YR1996,90.3945846557617,81.4007969502741
ABW,YR2000,91.6603980031457,84.3583628446729
ABW,YR2004,92.2121658325195,85.864615256153
ABW,YR2008,93.086166381836,87.7954297271775
ABW,YR2012,94.2558135986328,90.0442292277689
ABW,YR2016,95.5701446533203,92.4528443723035
AFG,YR1992,0.00999999977648258,
AFG,YR1996,0.00999999977648258,
AFG,YR2000,0.959755897521973,
AFG,YR2004,17.2363185882568,
AFG,YR2008,42.4,32.5
AFG,YR2012,69.1,63.8
AFG,YR2016,84.1371383666992,78.9610743548116
AGO,YR1992,13.7604398727417,9.12124109512749
AGO,YR1996,18.4235019683838,11.9802014296401
AGO,YR2000,22.843355178833,14.0983540874914
AGO,YR2004,27.0097007751465,15.3365969478943
AGO,YR2008,31.2680130004883,16.0093751034264
AGO,YR2012,35.821964263916,16.284298196036
AGO,YR2016,40.5206069946289,15.9842091217441
AIA,YR1992,90.4,
AIA,YR1996,93.3305435180664,
AIA,YR2000,95.8211898803711,
AIA,YR2004,98.0626983642578,
AIA,YR2008,99.8498077392578,
AIA,YR2012,100.0,
AIA,YR2016,100.0,
ALB,YR1992,100.0,100.0
ALB,YR1996,100.0,100.0
ALB,YR2000,100.0,100.0
ALB,YR2004,100.0,100.0
ALB,YR2008,100.0,100.0
ALB,YR2012,100.0,100.0
ALB,YR2016,100.0,100.0
AND,YR1992,100.0,100.0
AND,YR1996,100.0,100.0
AND,YR2000,100.0,100.0
AND,YR2004,100.0,100.0
AND,YR2008,100.0,100.0
AND,YR2012,100.0,100.0
AND,YR2016,100.0,100.0
ANT,YR1992,,
ANT,YR1996,,
ANT,YR2000,,
ANT,YR2004,,
ANT,YR2008,,
ANT,YR2012,,
ANT,YR2016,,
ARE,YR1992,100.0,100.0
ARE,YR1996,100.0,100.0
ARE,YR2000,100.0,100.0
ARE,YR2004,100.0,100.0
ARE,YR2008,100.0,100.0
ARE,YR2012,100.0,100.0
ARE,YR2016,100.0,100.0
ARG,YR1992,91.6060180664063,91.6060180664062
ARG,YR1996,93.4742126464844,93.4742126464844
ARG,YR2000,95.0992050170898,95.0992050170897
ARG,YR2004,96.4706802368164,96.4706802368164
ARG,YR2008,97.9341278076172,97.9341278076173
ARG,YR2012,99.5844116210938,99.5844116210937
ARG,YR2016,100.0,100.0
ARM,YR1992,98.0238952636719,96.5701119218202
ARM,YR1996,98.6444702148438,97.9200233789221
ARM,YR2000,98.9,98.6
ARM,YR2004,99.1796951293945,98.8608247532795
ARM,YR2008,99.4156494140625,99.1165209563131
ARM,YR2012,99.8788757324219,99.7873630684024
ARM,YR2016,100.0,100.0
ASM,YR1992,,
ASM,YR1996,,
ASM,YR2000,,
ASM,YR2004,,
ASM,YR2008,,
ASM,YR2012,,
ASM,YR2016,,
ATG,YR1992,86.1865005493164,78.7204501021651
ATG,YR1996,88.2508926391602,82.3083824492664
ATG,YR2000,90.0720825195313,85.3728110788194
ATG,YR2004,91.639762878418,88.0994103076068
ATG,YR2008,93.2994079589844,90.8022997669207
ATG,YR2012,95.2546920776367,93.6665174886193
ATG,YR2016,97.3546676635742,96.5468913480825
AUS,YR1992,100.0,100.0
AUS,YR1996,100.0,100.0
AUS,YR2000,100.0,100.0
AUS,YR2004,100.0,100.0
AUS,YR2008,100.0,100.0
AUS,YR2012,100.0,100.0
AUS,YR2016,100.0,100.0
AUT,YR1992,100.0,100.0
AUT,YR1996,100.0,100.0
AUT,YR2000,100.0,100.0
AUT,YR2004,100.0,100.0
AUT,YR2008,100.0,100.0
AUT,YR2012,100.0,100.0
