economy,time,SE.SEC.ENRR
ABW,YR1992,
ABW,YR1996,
ABW,YR2000,96.5161666870117
ABW,YR2004,97.25244140625
ABW,YR2008,94.6491317749023
ABW,YR2012,111.159767150879
ABW,YR2016,
AFE,YR1992,
AFE,YR1996,
AFE,YR2000,
AFE,YR2004,
AFE,YR2008,
AFE,YR2012,
AFE,YR2016,
AFG,YR1992,
AFG,YR1996,
AFG,YR2000,
AFG,YR2004,17.5680809020996
AFG,YR2008,38.1939811706543
AFG,YR2012,53.618049621582
AFG,YR2016,51.6559410095215
AFW,YR1992,
AFW,YR1996,
AFW,YR2000,
AFW,YR2004,
AFW,YR2008,
AFW,YR2012,
AFW,YR2016,
AGO,YR1992,10.0993299484253
AGO,YR1996,
AGO,YR2000,12.2662801742554
AGO,YR2004,
AGO,YR2008,21.2894592285156
AGO,YR2012,
AGO,YR2016,50.6714782714844
ALB,YR1992,77.7147598266602
ALB,YR1996,67.8675537109375
ALB,YR2000,71.0780792236328
ALB,YR2004,74.8022079467773
ALB,YR2008,84.1250915527344
ALB,YR2012,92.2898330688477
ALB,YR2016,95.7149963378906
AND,YR1992,
AND,YR1996,
AND,YR2000,
AND,YR2004,
AND,YR2008,
AND,YR2012,
AND,YR2016,
ARB,YR1992,51.7615013122559
ARB,YR1996,54.3928108215332
ARB,YR2000,60.0535011291504
ARB,YR2004,65.9691162109375
ARB,YR2008,64.719970703125
ARB,YR2012,70.4993667602539
ARB,YR2016,70.7903900146484
ARE,YR1992,68.1939468383789
ARE,YR1996,
ARE,YR2000,
ARE,YR2004,
ARE,YR2008,
ARE,YR2012,
ARE,YR2016,95.3432922363281
ARG,YR1992,
ARG,YR1996,78.870849609375
ARG,YR2000,95.9366073608398
ARG,YR2004,94.5071716308594
ARG,YR2008,93.2370529174805
ARG,YR2012,103.47647857666
ARG,YR2016,108.462333679199
ARM,YR1992,92.3268585205078
ARM,YR1996,93.3364028930664
ARM,YR2000,92.1519927978516
ARM,YR2004,89.3457336425781
ARM,YR2008,94.9704818725586
ARM,YR2012,
ARM,YR2016,
ASM,YR1992,91.5556716918945
ASM,YR1996,
ASM,YR2000,
ASM,YR2004,
ASM,YR2008,
ASM,YR2012,
ASM,YR2016,
ATG,YR1992,97.5792999267578
ATG,YR1996,
ATG,YR2000,79.6617813110352
ATG,YR2004,
ATG,YR2008,118.127052307129
ATG,YR2012,109.524429321289
ATG,YR2016,
AUS,YR1992,
AUS,YR1996,148.636001586914
AUS,YR2000,
AUS,YR2004,
AUS,YR2008,
AUS,YR2012,
AUS,YR2016,153.013198852539
AUT,YR1992,104.805870056152
AUT,YR1996,105.650329589844
AUT,YR2000,98.6960601806641
AUT,YR2004,99.5235595703125
AUT,YR2008,99.4207305908203
AUT,YR2012,97.8433227539063
AUT,YR2016,100.963020324707
AZE,YR1992,91.9446487426758
AZE,YR1996,75.4991607666016
AZE,YR2000,
AZE,YR2004,
AZE,YR2008,
AZE,YR2012,
AZE,YR2016,
BDI,YR1992,6.24163007736206
BDI,YR1996,
BDI,YR2000,
BDI,YR2004,11.9685897827148
BDI,YR2008,
BDI,YR2012,28.7159900665283
BDI,YR2016,47.4781684875488
BEL,YR1992,102.746490478516
BEL,YR1996,146.362014770508
BEL,YR2000,144.876281738281
BEL,YR2004,153.405334472656
BEL,YR2008,158.743408203125
BEL,YR2012,157.794769287109
BEL,YR2016,161.033157348633
BEN,YR1992,
BEN,YR1996,
BEN,YR2000,21.8377704620361
BEN,YR2004,28.888599395752
BEN,YR2008,
BEN,YR2012,
BEN,YR2016,59.0425186157227
BFA,YR1992,7.47780990600586
BFA,YR1996,
BFA,YR2000,10.4224796295166
BFA,YR2004,13.250789642334
BFA,YR2008,18.9150905609131
BFA,YR2012,25.9330902099609
BFA,YR2016,35.7871513366699
BGD,YR1992,
BGD,YR1996,
BGD,YR2000,49.763988494873
BGD,YR2004,48.351978302002
BGD,YR2008,46.2411193847656
BGD,YR2012,55.2099685668945
BGD,YR2016,71.4158401489258
BGR,YR1992,95.7827682495117
BGR,YR1996,92.6323776245117
BGR,YR2000,92.787956237793
BGR,YR2004,88.7405395507813
BGR,YR2008,89.4339599609375
BGR,YR2012,94.6957321166992
BGR,YR2016,99.6770782470703
BHR,YR1992,98.4922180175781
BHR,YR1996,104.214317321777
BHR,YR2000,97.5694732666016
BHR,YR2004,95.3710021972656
BHR,YR2008,91.7923126220703
BHR,YR2012,91.6719970703125
BHR,YR2016,103.853843688965
BHS,YR1992,95.8618469238281
BHS,YR1996,
BHS,YR2000,
BHS,YR2004,86.1758880615234
BHS,YR2008,92.1582794189453
BHS,YR2012,85.7616729736328
BHS,YR2016,
BIH,YR1992,
BIH,YR1996,
BIH,YR2000,
BIH,YR2004,
BIH,YR2008,
BIH,YR2012,
BIH,YR2016,
BLR,YR1992,93.1222076416016
BLR,YR1996,95.7613372802734
BLR,YR2000,
BLR,YR2004,
BLR,YR2008,111.925590515137
BLR,YR2012,107.213439941406
BLR,YR2016,104.795921325684
BLZ,YR1992,
BLZ,YR1996,
BLZ,YR2000,67.9863128662109
BLZ,YR2004,78.2552490234375
BLZ,YR2008,74.7915115356445
BLZ,YR2012,78.3177337646484
BLZ,YR2016,87.006103515625
BMU,YR1992,
BMU,YR1996,
BMU,YR2000,
BMU,YR2004,79.4409484863281
BMU,YR2008,
BMU,YR2012,76.4940185546875
BMU,YR2016,
BOL,YR1992,
BOL,YR1996,
BOL,YR2000,72.908332824707
BOL,YR2004,86.0952835083008
BOL,YR2008,85.0127792358398
BOL,YR2012,88.131477355957
BOL,YR2016,91.426399230957
BRA,YR1992,
BRA,YR1996,
BRA,YR2000,
BRA,YR2004,102.371032714844
BRA,YR2008,96.7201232910156
BRA,YR2012,93.4202880859375
BRA,YR2016,102.063262939453
BRB,YR1992,
BRB,YR1996,
BRB,YR2000,103.624076843262
BRB,YR2004,107.722648620605
BRB,YR2008,104.479843139648
BRB,YR2012,
BRB,YR2016,106.509803771973
BRN,YR1992,73.8998718261719
BRN,YR1996,
BRN,YR2000,84.6492309570313
BRN,YR2004,92.80322265625
BRN,YR2008,96.0159072875977
BRN,YR2012,106.264831542969
BRN,YR2016,94.0541763305664
BTN,YR1992,
BTN,YR1996,
BTN,YR2000,30.0234298706055
BTN,YR2004,
BTN,YR2008,54.7161712646484
BTN,YR2012,71.697380065918
BTN,YR2016,85.3453674316406
BWA,YR1992,49.3714714050293
BWA,YR1996,
BWA,YR2000,80.4109268188477
BWA,YR2004,83.5247497558594
BWA,YR2008,79.9167709350586
BWA,YR2012,
BWA,YR2016,
CAF,YR1992,9.96249008178711
CAF,YR1996,
CAF,YR2000,
CAF,YR2004,
CAF,YR2008,
CAF,YR2012,17.3938808441162
CAF,YR2016,15.0394401550293
CAN,YR1992,102.7138671875
CAN,YR1996,105.476921081543
CAN,YR2000,101.923126220703
CAN,YR2004,
CAN,YR2008,102.344436645508
CAN,YR2012,109.987487792969
CAN,YR2016,112.514282226563
CEB,YR1992,86.229606628418
CEB,YR1996,88.3942565917969
CEB,YR2000,91.5570297241211
CEB,YR2004,92.5324401855469
CEB,YR2008,95.5338363647461
CEB,YR2012,97.1692733764648
CEB,YR2016,101.570182800293
CHE,YR1992,98.4175186157227
CHE,YR1996,101.114936828613
CHE,YR2000,95.6287536621094
CHE,YR2004,94.4170608520508
CHE,YR2008,95.8860473632813
CHE,YR2012,96.4805221557617
CHE,YR2016,102.565376281738
CHI,YR1992,
CHI,YR1996,
CHI,YR2000,
CHI,YR2004,
CHI,YR2008,
CHI,YR2012,
CHI,YR2016,
CHL,YR1992,91.3607177734375
CHL,YR1996,
CHL,YR2000,85.5215835571289
CHL,YR2004,92.3782577514648
CHL,YR2008,91.3850021362305
CHL,YR2012,89.5010833740234
CHL,YR2016,101.777526855469
CHN,YR1992,42.0988006591797
CHN,YR1996,54.8562393188477
CHN,YR2000,60.2598991394043
CHN,YR2004,
CHN,YR2008,81.7128372192383
CHN,YR2012,
CHN,YR2016,
CIV,YR1992,
CIV,YR1996,
CIV,YR2000,
CIV,YR2004,
CIV,YR2008,
CIV,YR2012,
CIV,YR2016,45.0358085632324
CMR,YR1992,28.1795501708984
CMR,YR1996,
CMR,YR2000,27.575439453125
