economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
8AF,YR1992,,,
8AF,YR1996,,,
8AF,YR2000,,15901000.0,1.52141475947644
8AF,YR2004,,,
8AF,YR2008,,,
8AF,YR2012,,,
8AS,YR1992,,,
8AS,YR1996,,,
8AS,YR2000,,79842000.0,2.09514909948537
8AS,YR2004,,,
8AS,YR2008,,,
8AS,YR2012,,,
8EU,YR1992,,,
8EU,YR1996,,,
8EU,YR2000,,3424000.0,0.902257414744062
8EU,YR2004,,,
8EU,YR2008,,,
8EU,YR2012,,,
8LC,YR1992,,,
8LC,YR1996,,,
8LC,YR2000,,7888000.0,2.58445214876029
8LC,YR2004,,,
8LC,YR2008,,,
8LC,YR2012,,,
8NM,YR1992,,,
8NM,YR1996,,,
8NM,YR2000,,10000.0,1.00487082511829
8NM,YR2004,,,
8NM,YR2008,,,
8NM,YR2012,,,
8OC,YR1992,,,
8OC,YR1996,,,
8OC,YR2000,,,0.45514818205024
8OC,YR2004,,,
8OC,YR2008,,,
8OC,YR2012,,,
9CS,YR1992,,,
9CS,YR1996,,,
9CS,YR2000,,38946000.0,2.0547819779137
9CS,YR2004,,,
9CS,YR2008,,,
9CS,YR2012,,,
9ES,YR1992,,,
9ES,YR1996,,,
9ES,YR2000,,38682000.0,2.18347308349232
9ES,YR2004,,,
9ES,YR2008,,,
9ES,YR2012,,,
9EU,YR1992,,,
9EU,YR1996,,,
9EU,YR2000,,3424000.0,0.902257414744062
9EU,YR2004,,,
9EU,YR2008,,,
9EU,YR2012,,,
9LC,YR1992,,,
9LC,YR1996,,,
9LC,YR2000,,7888000.0,2.58445214876029
9LC,YR2004,,,
9LC,YR2008,,,
9LC,YR2012,,,
9NM,YR1992,,,
9NM,YR1996,,,
9NM,YR2000,,10000.0,1.00487082511829
9NM,YR2004,,,
9NM,YR2008,,,
9NM,YR2012,,,
9OC,YR1992,,,
9OC,YR1996,,,
9OC,YR2000,,,0.45514818205024
9OC,YR2004,,,
9OC,YR2008,,,
9OC,YR2012,,,
9SS,YR1992,,,
9SS,YR1996,,,
9SS,YR2000,,13561000.0,1.66171414051149
9SS,YR2004,,,
9SS,YR2008,,,
9SS,YR2012,,,
9WN,YR1992,,,
9WN,YR1996,,,
9WN,YR2000,,4554000.0,1.24415740073206
9WN,YR2004,,,
9WN,YR2008,,,
9WN,YR2012,,,
ABW,YR1992,,,
ABW,YR1996,,,
ABW,YR2000,,,
ABW,YR2004,,,
ABW,YR2008,,,
ABW,YR2012,,,
AFG,YR1992,,,
AFG,YR1996,,,
AFG,YR2000,,,
AFG,YR2004,,,
AFG,YR2008,,,
AFG,YR2012,,,
AGO,YR1992,,,
AGO,YR1996,,,
AGO,YR2000,,,
AGO,YR2004,,,
AGO,YR2008,0.0146794,555000.0,4.541006
AGO,YR2012,,,
ALB,YR1992,,,
ALB,YR1996,,,
ALB,YR2000,,,
ALB,YR2004,,,
ALB,YR2008,0.0002304,46000.0,4.075897
ALB,YR2012,0.0011703,41000.0,4.945397
AND,YR1992,,,
AND,YR1996,,,
AND,YR2000,,,
AND,YR2004,,,
AND,YR2008,,,
AND,YR2012,,,
ARE,YR1992,,,
ARE,YR1996,,,
ARE,YR2000,,,
ARE,YR2004,,,
ARE,YR2008,,,
ARE,YR2012,,,
ARG,YR1992,,,
ARG,YR1996,0.0018434,191000.0,1.026507
ARG,YR2000,,,
ARG,YR2004,0.0010624,241000.0,4.70356
ARG,YR2008,,,
ARG,YR2012,,,
ARM,YR1992,,,
ARM,YR1996,,,
ARM,YR2000,,,
ARM,YR2004,,,
ARM,YR2008,,,
ARM,YR2012,0.0011794,73000.0,4.483202
ASM,YR1992,,,
ASM,YR1996,,,
ASM,YR2000,,,
ASM,YR2004,,,
ASM,YR2008,,,
ASM,YR2012,,,
ATG,YR1992,,,
ATG,YR1996,,,
ATG,YR2000,,,
ATG,YR2004,,,
ATG,YR2008,,,
ATG,YR2012,,,
AUS,YR1992,,,
AUS,YR1996,,,
AUS,YR2000,,,
AUS,YR2004,,,
AUS,YR2008,,,
AUS,YR2012,,,
AUT,YR1992,,,
AUT,YR1996,,,
AUT,YR2000,,,
AUT,YR2004,,,
AUT,YR2008,,,
AUT,YR2012,,,
AZE,YR1992,,,
AZE,YR1996,,,
AZE,YR2000,,,
AZE,YR2004,0.0,0.0,1.145874
AZE,YR2008,,,
AZE,YR2012,,,
BDI,YR1992,,,
BDI,YR1996,,,
BDI,YR2000,,,
BDI,YR2004,,,
BDI,YR2008,,,
BDI,YR2012,,,
BEL,YR1992,,,
BEL,YR1996,,,
BEL,YR2000,,,
BEL,YR2004,,,
BEL,YR2008,,,
BEL,YR2012,,,
BEN,YR1992,,,
BEN,YR1996,,,
BEN,YR2000,,,
BEN,YR2004,,,
BEN,YR2008,,,
BEN,YR2012,,,
BFA,YR1992,,,
BFA,YR1996,,,
BFA,YR2000,,,
BFA,YR2004,,,
BFA,YR2008,,,
BFA,YR2012,,,
BGD,YR1992,,,
BGD,YR1996,,,
BGD,YR2000,0.0862486,4290000.0,4.765644
BGD,YR2004,,,
BGD,YR2008,,,
BGD,YR2012,,,
BGR,YR1992,,,
BGR,YR1996,,,
BGR,YR2000,0.0001704,19000.0,0.6940063
BGR,YR2004,,,
BGR,YR2008,,,
BGR,YR2012,,,
BHR,YR1992,,,
BHR,YR1996,,,
BHR,YR2000,,,
BHR,YR2004,,,
BHR,YR2008,,,
BHR,YR2012,,,
BHS,YR1992,,,
BHS,YR1996,,,
BHS,YR2000,,,
BHS,YR2004,,,
BHS,YR2008,,,
BHS,YR2012,,,
BIH,YR1992,,,
BIH,YR1996,,,
BIH,YR2000,,,
BIH,YR2004,0.0003356,6000.0,0.3999738
BIH,YR2008,,,
BIH,YR2012,,,
BLR,YR1992,,,
BLR,YR1996,,,
BLR,YR2000,0.0005658,51000.0,0.3005007
BLR,YR2004,5.22e-05,45000.0,0.1318705
BLR,YR2008,0.0,3000.0,0.1002806
BLR,YR2012,0.0,0.0,0.1502668
BLZ,YR1992,,,
BLZ,YR1996,,,
BLZ,YR2000,,,
BLZ,YR2004,,,
BLZ,YR2008,,,
BLZ,YR2012,,,
BMU,YR1992,,,
BMU,YR1996,,,
BMU,YR2000,,,
BMU,YR2004,,,
BMU,YR2008,,,
BMU,YR2012,,,
BOL,YR1992,,,
BOL,YR1996,,,
BOL,YR2000,,,3.550981
BOL,YR2004,,,
BOL,YR2008,,,
BOL,YR2012,,,
BRA,YR1992,,,
BRA,YR1996,,,
BRA,YR2000,,,
BRA,YR2004,,,
BRA,YR2008,0.0073587,3874000.0,3.46446
BRA,YR2012,,,
BRB,YR1992,,,
BRB,YR1996,,,
BRB,YR2000,,,
BRB,YR2004,,,
BRB,YR2008,,,
BRB,YR2012,,,
BRN,YR1992,,,
BRN,YR1996,,,
BRN,YR2000,,,
BRN,YR2004,,,
BRN,YR2008,,,
BRN,YR2012,,,
BTN,YR1992,,,
BTN,YR1996,,,
BTN,YR2000,,,
BTN,YR2004,,,
BTN,YR2008,,,
BTN,YR2012,,,
BWA,YR1992,,,
BWA,YR1996,,,
BWA,YR2000,,,
BWA,YR2004,,,
BWA,YR2008,,,
BWA,YR2012,,,
CAF,YR1992,,,
CAF,YR1996,,,
CAF,YR2000,,,
CAF,YR2004,,,
CAF,YR2008,,,
CAF,YR2012,,,
CAN,YR1992,,,
CAN,YR1996,,,
CAN,YR2000,0.0025105,10000.0,0.3394
CAN,YR2004,0.0018177,15000.0,0.34434
CAN,YR2008,,,
CAN,YR2012,,,
CHE,YR1992,,,
CHE,YR1996,,,
CHE,YR2000,0.0,0.0,5.34443
CHE,YR2004,0.0,0.0,6.68024
CHE,YR2008,,,
CHE,YR2012,,,
CHI,YR1992,,,
CHI,YR1996,,,
CHI,YR2000,,,
CHI,YR2004,,,
CHI,YR2008,,,
CHI,YR2012,,,
CHL,YR1992,,,
CHL,YR1996,,,
CHL,YR2000,,,
CHL,YR2004,,,
CHL,YR2008,,,
CHL,YR2012,,,
CHN,YR1992,,,
CHN,YR1996,,,
CHN,YR2000,0.0291043,27500000.0,2.747623
CHN,YR2004,,,
CHN,YR2008,,,
CHN,YR2012,,,
CIV,YR1992,,,
CIV,YR1996,,,
CIV,YR2000,,,
CIV,YR2004,,,
CIV,YR2008,0.022208,652000.0,3.568406
CIV,YR2012,,,
CMR,YR1992,,,
CMR,YR1996,0.0441891,323000.0,2.055755
CMR,YR2000,,,
CMR,YR2004,,,
CMR,YR2008,,,
CMR,YR2012,,,
COD,YR1992,,,
COD,YR1996,,,
COD,YR2000,,,
COD,YR2004,0.0142014,64000.0,0.8374928
COD,YR2008,,,
COD,YR2012,,,
COG,YR1992,,,
COG,YR1996,,,
COG,YR2000,,,
COG,YR2004,,,
COG,YR2008,,,
COG,YR2012,,,
COL,YR1992,,,
COL,YR1996,,,
COL,YR2000,,,
COL,YR2004,,,
COL,YR2008,0.0026818,474000.0,3.109187
COL,YR2012,,,
COM,YR1992,,,
COM,YR1996,,,
COM,YR2000,,,
