year,c1,c2,c3,c4,iso_country,c5,c6,c7,c8,c9,c10,c11
1992,Barcelona,Diving,Swimming and Diving,CHN,CHN,China,Asia,Men,Single,10M Platform,Bronze,summer
1992,Barcelona,Diving,Swimming and Diving,USA,USA,USA,Americas,Women,Single,10M Platform,Bronze,summer
1992,Barcelona,Diving,Swimming and Diving,EUN,EUN,Unified Team,noregion,Men,Single,3M Springboard,Bronze,summer
1992,Barcelona,Diving,Swimming and Diving,GER,DEU,Germany,Europe,Women,Single,3M Springboard,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Men,Single,100M Backstroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Women,Single,100M Backstroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,AUS,AUS,Australia,Oceania,Men,Single,100M Breaststroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,AUS,AUS,Australia,Oceania,Women,Single,100M Breaststroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,SUR,SUR,Suriname,Americas,Men,Single,100M Butterfly,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,FRA,FRA,France,Europe,Women,Single,100M Butterfly,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,FRA,FRA,France,Europe,Men,Single,100M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Women,Single,100M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Men,Single,1500M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,ITA,ITA,Italy,Europe,Men,Single,200M Backstroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,AUS,AUS,Australia,Oceania,Women,Single,200M Backstroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GBR,GBR,UK,Europe,Men,Single,200M Breaststroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Women,Single,200M Breaststroke,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,FRA,FRA,France,Europe,Men,Single,200M Butterfly,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,AUS,AUS,Australia,Oceania,Women,Single,200M Butterfly,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,FIN,FIN,Finland,Europe,Men,Single,200M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Women,Single,200M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,HUN,HUN,Hungary,Europe,Men,Single,200M Individual Medley,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Women,Single,200M Individual Medley,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,SWE,SWE,Sweden,Europe,Men,Single,400M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,AUS,AUS,Australia,Oceania,Women,Single,400M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,ITA,ITA,Italy,Europe,Men,Single,400M Individual Medley,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Women,Single,400M Individual Medley,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Men,Team,4X100M Freestyle Relay,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Women,Team,4X100M Freestyle Relay,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,CAN,CAN,Canada,Americas,Men,Team,4X100M Medley Relay,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,EUN,EUN,Unified Team,noregion,Women,Team,4X100M Medley Relay,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Men,Team,4X200M Freestyle Relay,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Men,Single,50M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,USA,USA,USA,Americas,Women,Single,50M Freestyle,Bronze,summer
1992,Barcelona,Swimming,Swimming and Diving,GER,DEU,Germany,Europe,Women,Single,800M Freestyle,Bronze,summer
1992,Barcelona,Synchronized Swimming,Swimming and Diving,JPN,JPN,Japan,Asia,Women,Double,Duet,Bronze,summer
1992,Barcelona,Synchronized Swimming,Swimming and Diving,JPN,JPN,Japan,Asia,Women,Single,Solo,Bronze,summer
1992,Barcelona,Water Polo,Team Sports,EUN,EUN,Unified Team,noregion,Men,Team,Water Polo,Bronze,summer
1992,Barcelona,Archery,Shooting and Swords,GBR,GBR,UK,Europe,Men,Single,Individual (Fita Olympic Round - 70M),Bronze,summer
1992,Barcelona,Archery,Shooting and Swords,EUN,EUN,Unified Team,noregion,Women,Single,Individual (Fita Olympic Round - 70M),Bronze,summer
1992,Barcelona,Archery,Shooting and Swords,GBR,GBR,UK,Europe,Men,Team,Team (Fita Olympic Round - 70M),Bronze,summer
1992,Barcelona,Archery,Shooting and Swords,EUN,EUN,Unified Team,noregion,Women,Team,Team (Fita Olympic Round - 70M),Bronze,summer
1992,Barcelona,Running,Track and Field,ETH,ETH,Ethiopia,Africa,Men,Single,10000M,Bronze,summer
1992,Barcelona,Running,Track and Field,USA,USA,USA,Americas,Women,Single,10000M,Bronze,summer
1992,Barcelona,Walk Race,Track and Field,CHN,CHN,China,Asia,Women,Single,10000M Race Walk,Bronze,summer
1992,Barcelona,Running,Track and Field,USA,USA,USA,Americas,Men,Single,100M,Bronze,summer
1992,Barcelona,Running,Track and Field,EUN,EUN,Unified Team,noregion,Women,Single,100M,Bronze,summer
1992,Barcelona,Hurdles,Track and Field,BUL,BGR,Bulgaria,Europe,Women,Single,100M Hurdles,Bronze,summer
1992,Barcelona,Hurdles,Track and Field,USA,USA,USA,Americas,Men,Single,110M Hurdles,Bronze,summer
1992,Barcelona,Running,Track and Field,QAT,QAT,Qatar,Asia,Men,Single,1500M,Bronze,summer
1992,Barcelona,Running,Track and Field,CHN,CHN,China,Asia,Women,Single,1500M,Bronze,summer
1992,Barcelona,Running,Track and Field,USA,USA,USA,Americas,Men,Single,200M,Bronze,summer
1992,Barcelona,Running,Track and Field,JAM,JAM,Jamaica,Americas,Women,Single,200M,Bronze,summer
1992,Barcelona,Walk Race,Track and Field,ITA,ITA,Italy,Europe,Men,Single,20KM Race Walk,Bronze,summer
1992,Barcelona,Running,Track and Field,CAN,CAN,Canada,Americas,Women,Single,3000M,Bronze,summer
1992,Barcelona,Steeplechase,Track and Field,KEN,KEN,Kenya,Africa,Men,Single,3000M Steeplechase,Bronze,summer
1992,Barcelona,Running,Track and Field,KEN,KEN,Kenya,Africa,Men,Single,400M,Bronze,summer
1992,Barcelona,Running,Track and Field,COL,COL,Colombia,Americas,Women,Single,400M,Bronze,summer
1992,Barcelona,Hurdles,Track and Field,GBR,GBR,UK,Europe,Men,Single,400M Hurdles,Bronze,summer
1992,Barcelona,Hurdles,Track and Field,USA,USA,USA,Americas,Women,Single,400M Hurdles,Bronze,summer
1992,Barcelona,Relay,Track and Field,CUB,CUB,Cuba,Americas,Men,Team,4X100M Relay,Bronze,summer
1992,Barcelona,Relay,Track and Field,NGR,NGA,Nigeria,Africa,Women,Team,4X100M Relay,Bronze,summer
