year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Barcelona,ALB,Albania,Europe,summer,3247039,4183027101,27400,,0.0006142152669,0.0001098585721,0.0002476956955
1992,Barcelona,DZA,Algeria,Africa,summer,27181094,92521819702,2381740,,0.005141620691,0.002429894608,0.02153090313
1992,Barcelona,ASM,American Samoa,Oceania,summer,49593,376295721,200,,0.000009381093893,0.000009882630352,0.000001807997778
1992,Barcelona,AND,Andorra,Europe,summer,58888,2018600970,470,,0.00001113935146,0.00005301438763,0.000004248794777
1992,Barcelona,AGO,Angola,Africa,summer,12968345,29451494067,1246700,,0.002453113586,0.0007734826971,0.01127015415
1992,Barcelona,ATG,Antigua and Barbuda,Americas,summer,68427,715590002,440,,0.00001294376448,0.00001879349426,0.000003977595111
1992,Barcelona,ARG,Argentina,Americas,summer,33655151,245192000000,2736690,,0.006366264019,0.006439461748,0.02473964719
1992,Barcelona,ABW,Aruba,Americas,summer,68235,1763915227,180,,0.00001290744544,0.00004632559232,0.000001627198
1992,Barcelona,AUS,Australia,Oceania,summer,17495000,611757000000,7682300,,0.003309383132,0.0160665348,0.06944790663
1992,Barcelona,AUT,Austria,Europe,summer,7840709,275136000000,82580,,0.001483161481,0.007225879097,0.0007465222824
1992,Barcelona,BHS,Bahamas,Americas,summer,266134,5491860988,10010,,0.00005034234755,0.0001442323924,0.00009049028877
1992,Barcelona,BHR,Bahrain,Asia,summer,523087,10555092806,710,,0.00009894800196,0.0002772077244,0.000006418392111
1992,Barcelona,BGD,Bangladesh,Asia,summer,111221938,46288404443,130170,,0.02103892572,0.001215669393,0.001176735354
1992,Barcelona,BRB,Barbados,Americas,summer,7382000,3263286012,430,,0.001396391328,0.00008570347094,0.000003887195222
1992,Barcelona,BEL,Belgium,Europe,summer,10045158,341164000000,30280,,0.001900158699,0.00895996822,0.0002737308635
1992,Barcelona,BLZ,Belize,Americas,summer,194317,661495254.2,22810,,0.00003675732507,0.00001737280738,0.0002062021465
1992,Barcelona,BEN,Benin,Africa,summer,5331803,3255337130,112760,,0.001008572673,0.00008549470997,0.001019349147
1992,Barcelona,BMU,Bermuda,Americas,summer,58595,3627837777,50,,0.0000110839271,0.00009527767053,0.0000004519994444
1992,Barcelona,BTN,Bhutan,Asia,summer,531525,441730787.8,46723,,0.000100544148,0.00001160114731,0.0004223754008
1992,Barcelona,BOL,Bolivia,Americas,summer,7131707,9964277909,1083300,,0.00134904549,0.0002616911907,0.009793019962
1992,Barcelona,BIH,Bosnia and Herzegovina,Europe,summer,4239154,3235699314,51200,,0.000801885381,0.00008497896326,0.0004628474311
1992,Barcelona,BWA,Botswana,Africa,summer,1455833,5882186485,566730,,0.0002753877778,0.0001544834859,0.005123232903
1992,Barcelona,BRA,Brazil,Americas,summer,154564278,1205110000000,8358140,,0.02923763443,0.03164972653,0.07555749272
1992,Barcelona,VGB,Virgin Islands (UK),Americas,summer,17344,275752713,150,,0.000003280819722,0.000007242075791,0.000001355998333
1992,Barcelona,BGR,Bulgaria,Europe,summer,8540164,30811151715,110630,,0.001615471545,0.0008091912986,0.001000093971
1992,Barcelona,BFA,Burkina Faso,Africa,summer,9297113,3288098668,273600,,0.00175865727,0.00008635512413,0.00247334096
1992,Barcelona,CMR,Cameroon,Africa,summer,3095807,1282209347,622980,,0.0005856079717,0.00003367458173,0.005631732277
1992,Barcelona,CAN,Canada,Americas,summer,12408931,14737572781,472710,,0.002347293909,0.0003870519274,0.004273293147
1992,Barcelona,CYM,Cayman Islands,Americas,summer,28519597,1001280000000,9093510,,0.005394814132,0.02629655233,0.08220522935
